time,avg_power_demand_W,energy_demand_kWh,peak_power_W,day,month
2021-05-14,5677.555555555556,136.2613333333333,40196.0,Friday,May
2021-05-15,711.4583333333334,17.075000000000003,13660.0,Saturday,May
2021-05-16,0.0,0.0,0.0,Sunday,May
2021-05-17,15966.402777777777,383.1936666666667,82924.0,Monday,May
2021-05-18,749.1111111111111,17.978666666666665,13484.0,Tuesday,May
2021-05-19,13319.291666666666,319.663,68580.0,Wednesday,May
2021-05-20,5560.416666666667,133.45000000000002,27792.0,Thursday,May
2021-05-21,8411.263888888889,201.87033333333335,27716.0,Friday,May
2021-05-22,749.5,17.988,13816.0,Saturday,May
2021-05-23,328.0,7.872,328.0,Sunday,May
2021-05-24,18615.708333333332,446.777,83696.0,Monday,May
2021-05-25,12495.652777777777,299.89566666666667,55148.0,Tuesday,May
2021-05-26,992.6111111111111,23.822666666666667,14000.0,Wednesday,May
2021-05-27,15460.152777777777,371.04366666666664,55500.0,Thursday,May
2021-05-28,2289.9305555555557,54.958333333333336,28244.0,Friday,May
2021-05-29,1360.4722222222222,32.65133333333333,13844.0,Saturday,May
2021-05-30,328.0,7.872,328.0,Sunday,May
2021-05-31,328.0,7.872,328.0,Monday,May
2021-06-01,328.0,7.872,328.0,Tuesday,June
2021-06-02,19076.027777777777,457.8246666666667,55176.0,Wednesday,June
2021-06-03,8058.791666666667,193.411,27788.0,Thursday,June
2021-06-04,10550.263888888889,253.20633333333333,27300.0,Friday,June
2021-06-05,0.0,0.0,0.0,Saturday,June
2021-06-06,0.0,0.0,0.0,Sunday,June
2021-06-07,4649.583333333333,111.59,27140.0,Monday,June
2021-06-08,18935.333333333332,454.448,81932.0,Tuesday,June
2021-06-09,660.9166666666666,15.862,13596.0,Wednesday,June
2021-06-10,12073.444444444445,289.76266666666663,54580.0,Thursday,June
2021-06-11,15116.361111111111,362.79266666666666,54452.0,Friday,June
2021-06-12,7965.666666666667,191.176,27388.0,Saturday,June
2021-06-13,5621.166666666667,134.90800000000002,27912.0,Sunday,June
2021-06-14,9024.888888888889,216.59733333333335,53312.0,Monday,June
2021-06-15,9129.583333333334,219.11,27240.0,Tuesday,June
2021-06-16,1562.2222222222222,37.49333333333333,13680.0,Wednesday,June
2021-06-17,9921.722222222223,238.12133333333333,27204.0,Thursday,June
2021-06-18,4631.083333333333,111.146,27200.0,Friday,June
2021-06-19,754.6666666666666,18.112,13584.0,Saturday,June
2021-06-20,0.0,0.0,0.0,Sunday,June
2021-06-21,13522.208333333334,324.533,81608.0,Monday,June
2021-06-22,10662.319444444445,255.89566666666667,54200.0,Tuesday,June
2021-06-23,10441.138888888889,250.58733333333333,41304.0,Wednesday,June
2021-06-24,3673.222222222222,88.15733333333334,27920.0,Thursday,June
2021-06-25,35071.73611111111,841.7216666666667,177220.0,Friday,June
2021-06-26,4500.638888888889,108.01533333333333,27632.0,Saturday,June
2021-06-27,8011.25,192.27,29612.0,Sunday,June
2021-06-28,10213.305555555555,245.11933333333334,41192.0,Monday,June
2021-06-29,24175.916666666668,580.222,120524.0,Tuesday,June
2021-06-30,11901.763888888889,285.64233333333334,54296.0,Wednesday,June
2021-07-01,12455.847222222223,298.94033333333334,70764.0,Thursday,July
2021-07-02,7669.055555555556,184.05733333333333,53780.0,Friday,July
2021-07-03,1569.138888888889,37.659333333333336,13756.0,Saturday,July
2021-07-04,3618.2916666666665,86.839,28164.0,Sunday,July
2021-07-05,648.75,15.570000000000002,18684.0,Monday,July
2021-07-06,14077.958333333334,337.871,80740.0,Tuesday,July
2021-07-07,8956.236111111111,214.94966666666667,33208.0,Wednesday,July
2021-07-08,5054.138888888889,121.29933333333332,27464.0,Thursday,July
2021-07-09,16932.416666666668,406.378,81524.0,Friday,July
2021-07-10,5381.75,129.162,27192.0,Saturday,July
2021-07-11,0.0,0.0,0.0,Sunday,July
2021-07-12,15971.222222222223,383.30933333333337,82612.0,Monday,July
2021-07-13,8577.0,205.84799999999998,80156.0,Tuesday,July
2021-07-14,24904.694444444445,597.7126666666667,82784.0,Wednesday,July
2021-07-15,10858.333333333334,260.6,54236.0,Thursday,July
2021-07-16,14134.125,339.219,53692.0,Friday,July
